id	photo	befriend	hookup	date
6	M030C.jpg	1	-2	-2
6	M059C.jpg	1	-2	-2
6	M025C.jpg	0	-2	-2
6	M038C.jpg	-1	-2	-2
6	M091C.jpg	-2	-2	-2
6	M052C.jpg	1	-2	-2
6	M055C.jpg	1	0	-1
6	M044C.jpg	0	-2	-2
6	M001C.jpg	0	-2	-2
6	M041C.jpg	0	-2	-2
6	M083C.jpg	-1	-2	-2
6	M036C.jpg	-2	-2	-2
6	M089C.jpg	0	-2	-2
6	M065C.jpg	-2	-1	-2
6	M064C.jpg	-2	-2	-2
6	M014C.jpg	0	-2	-2
6	M015C.jpg	-2	-2	-2
6	M068C.jpg	-2	-2	-2
6	M004C.jpg	-2	-2	-2
6	M084C.jpg	0	1	0
10	F103C.jpg	1	-2	-2
10	F100C.jpg	-1	-2	-2
10	F080C.jpg	-2	1	-1
10	F053C.jpg	1	1	1
10	F076C.jpg	1	1	0
10	F107C.jpg	-1	0	-2
10	F040C.jpg	0	1	1
10	F027C.jpg	-1	-1	-2
10	F065C.jpg	2	0	1
10	F034C.jpg	-1	0	-1
10	F032C.jpg	2	-1	0
10	F005C.jpg	1	1	1
10	F086C.jpg	1	-2	-2
10	F072C.jpg	-2	-2	-2
10	F090C.jpg	-2	-2	-2
10	F026C.jpg	1	-1	0
10	F051C.jpg	-1	-1	-1
10	F110C.jpg	1	-2	-1
10	F011C.jpg	-1	-1	-2
10	F074C.jpg	1	2	2
15	M030C.jpg	0	-1	-1
15	M059C.jpg	1	1	1
15	M025C.jpg	0	-2	-2
15	M038C.jpg	0	0	-1
15	M091C.jpg	-1	0	-2
15	M052C.jpg	1	1	1
15	M055C.jpg	-1	-1	-2
15	M044C.jpg	0	-1	-2
15	M001C.jpg	0	-1	-1
15	M041C.jpg	0	-1	-1
15	M083C.jpg	0	1	-2
15	M036C.jpg	-1	-2	-2
15	M089C.jpg	0	-1	-1
15	M065C.jpg	0	2	-1
15	M064C.jpg	0	-2	-2
15	M014C.jpg	0	-1	-1
15	M015C.jpg	-2	-2	-2
15	M068C.jpg	-2	-2	-2
15	M004C.jpg	-2	-2	-2
15	M084C.jpg	0	0	0
14	M030C.jpg	1	-1	-2
14	M059C.jpg	1	-2	-2
14	M025C.jpg	1	-2	-2
14	M038C.jpg	-1	-2	-2
14	M091C.jpg	-1	-2	-2
14	M052C.jpg	2	1	1
14	M055C.jpg	2	0	1
14	M044C.jpg	1	-2	-2
14	M001C.jpg	1	-2	-2
14	M041C.jpg	-2	-2	-2
14	M083C.jpg	-1	-1	-2
14	M036C.jpg	-2	-2	-2
14	M089C.jpg	1	-1	-2
14	M065C.jpg	0	-1	-1
14	M064C.jpg	-2	-2	-2
14	M014C.jpg	1	-2	-2
14	M015C.jpg	-1	-2	-2
14	M068C.jpg	-1	-2	-2
14	M004C.jpg	-2	-2	-2
14	M084C.jpg	2	1	0
	M030C.jpg	1	0	1
	M059C.jpg	0	0	0
	M025C.jpg	2	-2	-2
	M038C.jpg	-2	-2	-2
	M091C.jpg	-2	-2	-2
	M052C.jpg	2	1	1
	M055C.jpg	1	-1	-1
	M044C.jpg	2	-1	-1
	M001C.jpg	2	-1	-1
	M041C.jpg	-2	-2	-2
	M083C.jpg	-2	-2	-2
	M036C.jpg	-2	-2	-2
	M089C.jpg	-2	-2	-2
	M065C.jpg	-2	-2	-2
	M064C.jpg	1	-2	-2
	M014C.jpg	0	-1	-1
	M015C.jpg	-2	-2	-2
	M068C.jpg	2	-2	-2
	M004C.jpg	-2	-2	-2
	M084C.jpg	1	-1	-1
1	M030C.jpg	1	1	0
1	M059C.jpg	0	1	0
1	M025C.jpg	0	-2	-2
1	M038C.jpg	-2	0	-2
1	M091C.jpg	-2	-1	-2
1	M052C.jpg	2	2	2
1	M055C.jpg	1	2	1
1	M044C.jpg	1	-1	-2
1	M001C.jpg	0	-1	-2
1	M041C.jpg	-2	-2	-2
1	M083C.jpg	-1	0	-2
1	M036C.jpg	-2	-2	-2
1	M089C.jpg	-1	-2	-2
1	M065C.jpg	-2	1	-1
1	M064C.jpg	-2	-2	-2
1	M014C.jpg	-1	-2	-2
1	M015C.jpg	-2	-2	-2
1	M068C.jpg	1	0	0
1	M004C.jpg	-2	-2	-2
1	M084C.jpg	0	-1	-2
4	M030C.jpg	0	2	2
4	M059C.jpg	2	0	-2
4	M025C.jpg	-1	-2	-2
4	M038C.jpg	0	-2	-2
4	M091C.jpg	0	1	0
4	M052C.jpg	0	2	2
4	M055C.jpg	1	0	-2
4	M044C.jpg	0	-2	-2
4	M001C.jpg	0	-2	-2
4	M041C.jpg	1	-2	-2
4	M083C.jpg	0	1	-2
4	M036C.jpg	-2	-2	-2
4	M089C.jpg	0	-2	-2
4	M065C.jpg	0	2	2
4	M064C.jpg	1	-2	-2
4	M014C.jpg	0	-2	-2
4	M015C.jpg	-2	-2	-2
4	M068C.jpg	2	0	-1
4	M004C.jpg	-2	1	-2
4	M084C.jpg	1	2	1
5	M030C.jpg	1	1	0
5	M059C.jpg	1	-2	-2
5	M025C.jpg	0	-2	-2
5	M038C.jpg	-2	-2	-2
5	M091C.jpg	-2	-2	-2
5	M052C.jpg	0	-2	-2
5	M055C.jpg	0	-2	-2
5	M044C.jpg	0	-2	-2
5	M001C.jpg	-2	-2	-2
5	M041C.jpg	-2	-2	-2
5	M083C.jpg	-2	-2	-2
5	M036C.jpg	-2	-2	-2
5	M089C.jpg	-1	-2	-2
5	M065C.jpg	0	-1	-2
5	M064C.jpg	1	-2	-2
5	M014C.jpg	0	-2	-2
5	M015C.jpg	-2	-2	-2
5	M068C.jpg	-2	-2	-2
5	M004C.jpg	-2	-2	-2
5	M084C.jpg	1	-2	-2
9	M030C.jpg	0	0	0
9	M059C.jpg	1	2	2
9	M025C.jpg	0	-2	-2
9	M038C.jpg	-2	-2	-2
9	M091C.jpg	-2	-2	-2
9	M052C.jpg	2	2	2
9	M055C.jpg	1	1	0
9	M044C.jpg	1	-2	-2
9	M001C.jpg	0	-2	-2
9	M041C.jpg	0	-2	-2
9	M083C.jpg	-2	1	-2
9	M036C.jpg	-2	-2	-2
9	M089C.jpg	0	-2	-2
9	M065C.jpg	-2	2	-1
9	M064C.jpg	0	-2	-2
9	M014C.jpg	0	-2	-2
9	M015C.jpg	-2	-2	-2
9	M068C.jpg	0	0	-1
9	M004C.jpg	-2	-2	-2
9	M084C.jpg	2	2	2
8	M030C.jpg	1	-1	0
8	M059C.jpg	1	0	0
8	M025C.jpg	1	-2	-2
8	M038C.jpg	-1	-2	-2
8	M091C.jpg	-1	-2	-2
8	M052C.jpg	1	1	1
8	M055C.jpg	1	1	1
8	M044C.jpg	1	-2	-2
8	M001C.jpg	0	-2	-2
8	M041C.jpg	0	-2	-2
8	M083C.jpg	-2	-2	-2
8	M036C.jpg	-2	-2	-2
8	M089C.jpg	0	-2	-2
8	M065C.jpg	-1	-1	-2
8	M064C.jpg	0	-2	-2
8	M014C.jpg	1	-2	-2
8	M015C.jpg	0	-2	-2
8	M068C.jpg	-1	-1	-1
8	M004C.jpg	-2	-2	-2
8	M084C.jpg	2	2	1
12	M030C.jpg	2	0	1
12	M059C.jpg	2	1	1
12	M025C.jpg	2	-1	0
12	M038C.jpg	-2	-1	-2
12	M091C.jpg	-2	-2	-2
12	M052C.jpg	2	2	1
12	M055C.jpg	-1	-1	-1
12	M044C.jpg	1	0	0
12	M001C.jpg	1	0	1
12	M041C.jpg	-1	-1	-2
12	M083C.jpg	-1	-1	-2
12	M036C.jpg	-2	-2	-2
12	M089C.jpg	1	-1	0
12	M065C.jpg	-2	-1	-1
12	M064C.jpg	-1	0	-1
12	M014C.jpg	1	0	0
12	M015C.jpg	-2	-1	-2
12	M068C.jpg	-1	-2	-1
12	M004C.jpg	-2	-2	-2
12	M084C.jpg	1	0	1
13	M030C.jpg	2	2	2
13	M059C.jpg	2	-1	2
13	M025C.jpg	2	-2	1
13	M038C.jpg	-2	1	-2
13	M091C.jpg	-2	-2	-2
13	M052C.jpg	2	2	2
13	M055C.jpg	2	2	2
13	M044C.jpg	2	2	2
13	M001C.jpg	2	2	2
13	M041C.jpg	-2	-2	-2
13	M083C.jpg	-2	-2	-2
13	M036C.jpg	-2	-2	-2
13	M089C.jpg	2	2	2
13	M065C.jpg	0	0	0
13	M064C.jpg	0	0	0
13	M014C.jpg	2	2	2
13	M015C.jpg	-2	-2	-2
13	M068C.jpg	-2	2	-2
13	M004C.jpg	-2	-2	-2
13	M084C.jpg	2	2	2
3	M030C.jpg	1	1	1
3	M059C.jpg	1	0	0
3	M025C.jpg	2	-2	-2
3	M038C.jpg	-1	-2	-2
3	M091C.jpg	-2	-2	-2
3	M052C.jpg	1	1	1
3	M055C.jpg	1	-1	-1
3	M044C.jpg	1	-2	-2
3	M001C.jpg	1	-2	-2
3	M041C.jpg	0	-2	-2
3	M083C.jpg	0	-2	-2
